id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	10	25	36	44	8	0	19	11	11
4	10	26	44	145	28	0	119	91	18
25	10	274	631	638	7	0	364	357	357
26	10	285	638	643	5	0	358	353	353
39	10	503	1079	1092	13	0	589	576	576
44	10	555	1218	1226	8	0	671	663	663
5	10	30	64	1279	65	74	1249	1184	34
88	10	933	2326	2327	1	0	1394	1393	1393
42	10	530	1152	2760	26	0	2230	2204	622
22	10	238	532	2767	41	0	2529	2488	294
45	10	557	1226	2779	32	0	2222	2190	669
24	10	273	611	2930	44	0	2657	2613	338
68	10	739	1771	3256	21	0	2517	2496	1032
71	10	762	1858	3364	27	6	2602	2575	1096
73	10	776	1898	3410	26	0	2634	2608	1122
78	10	871	2051	3539	34	0	2668	2634	1180
32	10	392	851	3586	42	35	3194	3152	459
35	10	431	948	3830	41	0	3399	3358	517
8	10	91	177	3858	98	1	3767	3669	86
96	10	1058	2545	3968	30	0	2910	2880	1487
48	10	611	1319	4313	32	69	3702	3670	708
11	10	132	257	4500	88	25	4368	4280	125
100	10	1075	2645	5384	48	0	4309	4261	1570
53	10	637	1434	5664	38	55	5027	4989	797
27	10	290	647	5743	65	27	5453	5388	357
89	10	944	2327	6434	72	0	5490	5418	1383
99	10	1074	2625	6610	64	0	5536	5472	1551
19	10	206	432	6633	71	126	6427	6356	226
20	10	218	472	6672	94	40	6454	6360	254
41	10	519	1132	6703	85	15	6184	6099	613
47	10	610	1299	6785	79	29	6175	6096	689
7	10	70	145	7289	134	2	7219	7085	75
77	10	865	2031	7426	86	33	6561	6475	1166
49	10	615	1333	7959	103	29	7344	7241	718
65	10	722	1711	8270	86	12	7548	7462	989
75	10	839	1989	8508	88	58	7669	7581	1150
76	10	854	2011	8548	98	48	7694	7596	1157
23	10	249	552	9085	141	0	8836	8695	303
52	10	626	1413	9221	99	63	8595	8496	787
62	10	708	1673	9338	119	20	8630	8511	965
13	10	155	307	9420	160	6	9265	9105	152
66	10	723	1731	9564	95	206	8841	8746	1008
74	10	815	1967	9567	123	0	8752	8629	1152
0	0	0	0	10002	10014	0	10002	-12	0
