id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
36	10	424	1013	1021	8	0	597	589	589
24	10	306	657	1696	34	0	1390	1356	351
28	10	365	791	2237	34	67	1872	1838	426
88	10	925	2371	2384	13	0	1459	1446	1446
96	10	1000	2574	2585	11	0	1585	1574	1574
46	10	504	1245	2907	35	0	2403	2368	741
18	10	251	507	3176	52	107	2925	2873	256
60	10	635	1542	3246	30	0	2611	2581	907
7	10	104	193	4015	59	32	3911	3852	89
15	10	222	407	4286	48	7	4064	4016	185
48	10	525	1297	4621	40	49	4096	4056	772
53	10	581	1378	4738	29	60	4157	4128	797
3	10	51	74	5081	123	11	5030	4907	23
70	10	741	1856	5084	25	9	4343	4318	1115
71	10	747	1858	5104	60	0	4357	4297	1111
79	10	825	2098	5313	44	15	4488	4444	1273
8	10	107	205	5932	104	74	5825	5721	98
45	10	492	1225	6019	58	6	5527	5469	733
37	10	439	1041	7345	69	16	6906	6837	602
100	10	1034	2653	7364	57	54	6330	6273	1619
44	10	474	1185	7454	80	9	6980	6900	711
55	10	588	1405	7732	85	25	7144	7059	817
61	10	640	1582	7839	95	0	7199	7104	942
12	10	193	347	8255	136	0	8062	7926	154
83	10	894	2262	9616	96	17	8722	8626	1368
0	0	0	-1	10000	10000	0	10000	0	-1
