id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
31	10	255	719	1917	36	0	1662	1626	464
17	10	153	396	2745	32	24	2592	2560	243
75	10	754	1932	3598	35	0	2844	2809	1178
15	10	122	316	4094	69	0	3972	3903	194
99	10	1017	2597	4311	21	0	3294	3273	1580
62	10	612	1575	4870	47	13	4258	4211	963
4	10	12	56	5035	82	31	5023	4941	44
92	10	938	2410	5631	42	24	4693	4651	1472
94	10	975	2481	5675	31	13	4700	4669	1506
41	10	402	1051	5888	69	0	5486	5417	649
56	10	509	1379	6250	64	43	5741	5677	870
93	10	963	2441	7233	44	112	6270	6226	1478
30	10	241	691	8094	104	23	7853	7749	450
32	10	264	739	8230	106	41	7966	7860	475
1	10	0	0	8355	160	33	8355	8195	0
97	10	995	2548	8737	59	72	7742	7683	1553
50	10	452	1189	8941	95	54	8489	8394	737
58	10	551	1435	9176	50	110	8625	8575	884
25	10	196	571	9209	94	42	9013	8919	375
64	10	632	1621	9315	85	6	8683	8598	989
70	10	707	1781	9514	89	23	8807	8718	1074
36	10	333	890	9920	132	12	9587	9455	557
35	10	324	870	9945	124	46	9621	9497	546
0	0	0	-1	10005	10005	0	10005	0	-1
