id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
8	10	99	166	470	27	0	371	344	67
12	10	132	293	873	6	5	741	735	161
72	10	674	1849	1857	8	0	1183	1175	1175
38	10	334	949	2522	40	0	2188	2148	615
79	10	745	2036	3722	39	0	2977	2938	1291
24	10	242	608	4954	59	5	4712	4653	366
82	10	751	2096	5417	39	27	4666	4627	1345
36	10	317	909	5705	46	37	5388	5342	592
94	10	930	2413	5767	38	62	4837	4799	1483
16	10	175	415	6145	83	14	5970	5887	240
59	10	538	1521	6414	67	18	5876	5809	983
71	10	671	1848	6764	51	3	6093	6042	1177
30	10	275	740	6999	73	21	6724	6651	465
47	10	408	1179	7684	78	49	7276	7198	771
29	10	269	720	8442	102	58	8173	8071	451
91	10	891	2333	8702	93	0	7811	7718	1442
98	10	972	2522	8857	67	27	7885	7818	1550
15	10	142	355	8996	118	23	8854	8736	213
0	0	0	-1	10011	10011	0	10011	0	-1
