id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	10	14	20	480	54	6	466	412	6
3	10	15	38	573	27	5	558	531	23
16	10	118	386	1250	22	19	1132	1110	268
78	10	694	1896	1903	7	0	1209	1202	1202
85	10	741	2083	2099	16	0	1358	1342	1342
86	10	744	2119	2135	16	0	1391	1375	1375
6	10	37	99	3019	63	0	2982	2919	62
56	10	417	1233	3047	22	55	2630	2608	816
20	10	163	511	3217	37	15	3054	3017	348
65	10	576	1530	3334	37	0	2758	2721	954
77	10	691	1876	5073	48	0	4382	4334	1185
9	10	65	219	5486	67	3	5421	5354	154
41	10	314	944	5716	57	17	5402	5345	630
44	10	325	993	5745	58	32	5420	5362	668
59	10	449	1330	6147	74	0	5698	5624	881
47	10	348	1069	7371	67	23	7023	6956	721
15	10	117	366	7471	120	0	7354	7234	249
90	10	775	2227	8422	61	154	7647	7586	1452
96	10	831	2384	8516	47	169	7685	7638	1553
5	10	26	79	8684	121	40	8658	8537	53
51	10	372	1116	8830	75	125	8458	8383	744
69	10	624	1650	9162	105	0	8538	8433	1026
95	10	818	2344	9617	100	1	8799	8699	1526
34	10	238	781	9632	131	71	9394	9263	543
10	10	68	239	9792	100	114	9724	9624	171
0	0	0	-1	10018	10018	0	10018	0	-1
