id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
5	10	63	135	145	10	0	82	72	72
52	10	518	1362	1372	10	0	854	844	844
7	10	94	185	3276	49	177	3182	3133	91
60	10	588	1548	3285	10	47	2697	2687	960
90	10	911	2393	4061	38	0	3150	3112	1482
40	10	415	1054	4305	25	18	3890	3865	639
16	10	208	446	4400	53	25	4192	4139	238
44	10	481	1162	4403	43	0	3922	3879	681
50	10	505	1302	4539	58	0	4034	3976	797
22	10	264	588	4799	76	0	4535	4459	324
76	10	740	1996	5189	29	43	4449	4420	1256
11	10	172	325	5363	88	0	5191	5103	153
12	10	178	345	5446	70	5	5268	5198	167
89	10	910	2373	5555	51	15	4645	4594	1463
55	10	532	1412	6115	40	24	5583	5543	880
71	10	669	1806	6448	76	5	5779	5703	1137
13	10	179	365	6963	82	3	6784	6702	186
38	10	406	1014	7190	84	0	6784	6700	608
47	10	492	1242	7348	81	0	6856	6775	750
65	10	627	1656	7645	82	33	7018	6936	1029
67	10	646	1716	7712	64	34	7066	7002	1070
68	10	662	1756	7756	76	34	7094	7018	1094
24	10	287	611	7845	64	157	7558	7494	324
9	10	113	245	7891	106	45	7778	7672	132
53	10	523	1372	8686	108	16	8163	8055	849
25	10	295	671	9060	95	21	8765	8670	376
10	10	136	285	9144	124	44	9008	8884	149
0	0	0	0	10005	9992	0	10005	13	0
