id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
5	10	63	822	832	10	0	769	759	759
60	10	588	1415	1557	10	47	969	959	827
52	10	518	2163	2173	10	0	1655	1645	1645
50	10	505	2192	2250	58	0	1745	1687	1687
9	10	113	1869	3003	106	45	2890	2784	1756
47	10	492	3122	3203	81	0	2711	2630	2630
11	10	172	3423	3511	88	0	3339	3251	3251
38	10	406	3657	3741	84	0	3335	3251	3251
40	10	415	3562	4438	25	18	4023	3998	3147
22	10	264	4689	4765	76	0	4501	4425	4425
44	10	481	4765	4808	43	0	4327	4284	4284
90	10	911	4910	4948	38	0	4037	3999	3999
85	10	863	5106	5296	190	0	4433	4243	4243
76	10	740	3813	5987	29	43	5247	5218	3073
55	10	532	1783	6037	40	24	5505	5465	1251
16	10	208	1036	6038	53	25	5830	5777	828
19	10	225	3645	6218	192	25	5993	5801	3420
12	10	178	4662	6261	70	5	6083	6013	4484
71	10	669	4173	6708	76	5	6039	5963	3504
88	10	901	4948	6921	137	15	6020	5883	4047
89	10	910	4808	7112	51	15	6202	6151	3898
95	10	967	3244	7689	245	53	6722	6477	2277
24	10	287	2705	7800	64	157	7513	7449	2418
69	10	666	4189	8048	216	13	7382	7166	3523
7	10	94	1416	8077	49	177	7983	7934	1322
67	10	646	4386	8973	64	34	8327	8263	3740
65	10	627	3955	9023	82	33	8396	8314	3328
39	10	413	3511	9226	155	40	8813	8658	3098
42	10	459	5052	9794	196	165	9335	9139	4593
18	10	219	2489	9795	126	107	9576	9450	2270
0	0	0	0	10048	10035	0	10048	13	0
