id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	10	35	108	118	10	0	83	73	73
14	10	103	118	133	15	0	30	15	15
40	10	383	424	503	79	0	120	41	41
33	10	317	1306	1317	11	0	1000	989	989
99	10	1206	1290	2985	92	141	1779	1687	84
45	10	479	3306	3309	3	0	2830	2827	2827
96	10	1173	3327	3597	36	14	2424	2388	2154
86	10	961	3597	3661	64	0	2700	2636	2636
22	10	220	4350	4356	6	0	4136	4130	4130
26	10	255	4958	6257	58	22	6002	5944	4703
74	10	783	6950	7007	57	0	6224	6167	6167
79	10	889	6191	7080	54	21	6191	6137	5302
37	10	365	4367	7194	25	21	6829	6804	4002
19	10	199	3133	7539	70	12	7340	7270	2934
55	10	563	2985	7965	42	56	7402	7360	2422
76	10	821	831	7993	59	128	7172	7113	10
52	10	529	1812	8273	246	252	7744	7498	1283
16	10	123	628	8425	27	10	8302	8275	505
60	10	638	666	8772	244	44	8134	7890	28
21	10	218	4392	9070	45	13	8852	8807	4174
15	10	110	133	9245	119	237	9135	9016	23
2	10	5	8	9890	151	66	9885	9734	3
88	10	1013	1120	9937	83	21	8924	8841	107
0	0	0	-1	10030	10030	0	10030	0	-1
