id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	10	26	174	202	28	0	176	148	148
3	10	25	241	249	8	0	224	216	216
22	10	238	249	290	41	0	52	11	11
26	10	285	332	337	5	0	52	47	47
35	10	431	497	538	41	0	107	66	66
42	10	530	561	587	26	0	57	31	31
45	10	557	587	619	32	0	62	30	30
78	10	871	1171	1205	34	0	334	300	300
100	10	1075	1205	1253	48	0	178	130	130
68	10	739	1264	1285	21	0	546	525	525
97	10	1059	1403	1696	293	0	637	344	344
99	10	1074	1696	1760	64	0	686	622	622
96	10	1058	1876	1906	30	0	848	818	818
23	10	249	3515	3656	141	0	3407	3266	3266
71	10	762	1764	3664	27	6	2902	2875	1002
25	10	274	3664	3671	7	0	3397	3390	3390
24	10	273	3854	3898	44	0	3625	3581	3581
88	10	933	4262	4263	1	0	3330	3329	3329
89	10	944	4977	5049	72	0	4105	4033	4033
11	10	132	3225	5192	88	25	5060	4972	3093
44	10	555	5418	5426	8	0	4871	4863	4863
39	10	503	5736	5749	13	0	5246	5233	5233
73	10	776	5964	5990	26	0	5214	5188	5188
74	10	815	5990	6113	123	0	5298	5175	5175
32	10	392	2570	6877	42	35	6485	6443	2178
5	10	30	1371	6910	65	74	6880	6815	1341
27	10	290	3265	6953	65	27	6663	6598	2975
8	10	91	102	7101	98	1	7010	6912	11
48	10	611	4963	7116	32	69	6505	6473	4352
87	10	926	5365	7458	172	40	6532	6360	4439
13	10	155	1965	7602	160	6	7447	7287	1810
66	10	723	2138	7858	95	206	7135	7040	1415
76	10	854	6115	8152	98	48	7298	7200	5261
53	10	637	3671	8230	38	55	7593	7555	3034
7	10	70	538	8505	134	2	8435	8301	468
20	10	218	5078	8599	94	40	8381	8287	4860
81	10	900	5696	9010	194	154	8110	7916	4796
52	10	626	3698	9160	99	63	8534	8435	3072
62	10	708	2564	9770	119	20	9062	8943	1856
41	10	519	5311	9801	85	15	9282	9197	4792
0	0	0	0	10152	10164	0	10152	-12	0
