id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
13	10	67	1266	1281	15	0	1214	1199	1199
3	10	10	71	1498	51	16	1488	1437	61
57	10	506	1637	1661	24	0	1155	1131	1131
34	10	310	1209	1953	81	28	1643	1562	899
52	10	428	450	2560	63	5	2132	2069	22
96	10	897	2769	2795	26	0	1898	1872	1872
89	10	832	3280	3897	43	10	3065	3022	2448
41	10	353	397	4159	198	20	3806	3608	44
53	10	458	4206	4280	74	0	3822	3748	3748
7	10	26	1156	4412	35	9	4386	4351	1130
76	10	737	4940	5099	159	0	4362	4203	4203
68	10	616	5461	5549	88	0	4933	4845	4845
37	10	330	5350	5588	40	47	5258	5218	5020
1	10	0	0	6139	149	17	6139	5990	0
60	10	565	1545	6252	110	98	5687	5577	980
39	10	346	4761	7334	65	24	6988	6923	4415
26	10	211	1661	7670	86	94	7459	7373	1450
28	10	228	265	7782	92	71	7554	7462	37
62	10	567	1426	7991	78	23	7424	7346	859
25	10	184	233	8139	179	22	7955	7776	49
55	10	502	1961	8518	47	12	8016	7969	1459
21	10	164	189	8598	124	23	8434	8310	25
50	10	411	1715	8826	100	45	8415	8315	1304
33	10	300	1165	8858	75	11	8558	8483	865
36	10	323	5293	8917	78	21	8594	8516	4970
67	10	605	5451	9424	147	19	8819	8672	4846
0	0	0	-1	10038	10038	0	10038	0	-1
