id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	10	37	695	758	63	0	721	658	658
78	10	694	758	765	7	0	71	64	64
99	10	903	928	1064	136	0	161	25	25
65	10	576	1253	1290	37	0	714	677	677
59	10	449	1458	1532	74	0	1083	1009	1009
48	10	357	474	1862	263	30	1505	1242	117
15	10	117	2289	2409	120	0	2292	2172	2172
16	10	118	537	3448	22	19	3330	3308	419
56	10	417	2489	3456	22	55	3039	3017	2072
2	10	14	114	3495	54	6	3481	3427	100
96	10	831	906	4603	47	169	3772	3725	75
86	10	744	4887	4903	16	0	4159	4143	4143
85	10	741	4903	4919	16	0	4178	4162	4162
41	10	314	5566	5724	57	17	5410	5353	5252
77	10	691	5724	5772	48	0	5081	5033	5033
75	10	685	5855	6002	147	0	5317	5170	5170
69	10	624	6414	6519	105	0	5895	5790	5790
3	10	15	239	6782	27	5	6767	6740	224
20	10	163	5772	7632	37	15	7469	7432	5609
90	10	775	3666	7912	61	154	7137	7076	2891
4	10	22	223	7969	140	106	7947	7807	201
26	10	198	2857	8479	246	10	8281	8035	2659
40	10	311	5629	8648	165	80	8337	8172	5318
47	10	348	3602	8664	67	23	8316	8249	3254
89	10	764	861	8937	179	181	8173	7994	97
68	10	603	6782	9705	342	50	9102	8760	6179
95	10	818	3959	9770	100	1	8952	8852	3141
34	10	238	244	9955	131	71	9717	9586	6
5	10	26	3000	9996	121	40	9970	9849	2974
51	10	372	3456	9999	75	125	9627	9552	3084
0	0	0	-1	10007	10007	0	10007	0	-1
