id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
46	10	504	534	569	35	0	65	30	30
49	10	526	569	729	141	5	203	62	43
36	10	424	1398	1406	8	0	982	974	974
61	10	640	1942	2037	95	0	1397	1302	1302
60	10	635	2037	2067	30	0	1432	1402	1402
96	10	1000	2534	2545	11	0	1545	1534	1534
3	10	51	576	3368	123	11	3317	3194	525
12	10	193	3368	3504	136	0	3311	3175	3175
24	10	306	3542	3576	34	0	3270	3236	3236
44	10	474	509	4498	80	9	4024	3944	35
30	10	382	484	4718	138	80	4336	4198	102
88	10	925	5017	5030	13	0	4105	4092	4092
53	10	581	4750	5307	29	60	4726	4697	4169
91	10	955	4947	5818	104	10	4863	4759	3992
81	10	845	5504	6166	240	24	5321	5081	4659
48	10	525	3778	6204	40	49	5679	5639	3253
100	10	1034	1103	6701	57	54	5667	5610	69
71	10	747	7588	7648	60	0	6901	6841	6841
32	10	408	2545	7915	136	19	7507	7371	2137
70	10	741	7648	7938	25	9	7197	7172	6907
73	10	750	808	8206	195	27	7456	7261	58
28	10	365	371	8225	34	67	7860	7826	6
7	10	104	1848	8325	59	32	8221	8162	1744
18	10	251	7260	8809	52	107	8558	8506	7009
82	10	871	908	9524	109	57	8653	8544	37
45	10	492	4916	9551	58	6	9059	9001	4424
83	10	894	6588	9600	96	17	8706	8610	5694
92	10	977	3931	9879	129	209	8902	8773	2954
0	0	0	-1	10000	10000	0	10000	0	-1
