id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	10	0	0	48	48	0	48	0	0
2	10	47	48	79	31	0	32	1	1
5	10	61	134	173	39	0	112	73	73
12	10	130	173	197	24	0	67	43	43
27	10	248	284	356	72	0	108	36	36
6	10	66	551	590	39	0	524	485	485
67	10	688	1334	1413	79	0	725	646	646
33	10	344	1514	1542	28	0	1198	1170	1170
17	10	184	2024	2109	85	0	1925	1840	1840
56	10	518	2419	2453	34	0	1935	1901	1901
98	10	935	1992	3127	25	20	2192	2167	1057
15	10	171	1203	4059	146	30	3888	3742	1032
62	10	612	2131	4316	125	21	3704	3579	1519
13	10	151	4930	4984	54	0	4833	4779	4779
43	10	468	4997	5000	3	0	4532	4529	4529
87	10	855	5009	5316	99	50	4461	4362	4154
84	10	826	5480	5489	9	0	4663	4654	4654
40	10	427	5671	5679	8	0	5252	5244	5244
42	10	434	5691	5747	56	0	5313	5257	5257
73	10	756	6192	6206	14	0	5450	5436	5436
28	10	256	4640	6801	29	53	6545	6516	4384
79	10	805	5205	7024	36	5	6219	6183	4400
47	10	489	6548	7124	54	69	6635	6581	6059
11	10	128	243	7272	43	17	7144	7101	115
34	10	349	1542	7698	42	43	7349	7307	1193
46	10	484	5008	7716	48	116	7232	7184	4524
39	10	405	1228	7894	215	18	7489	7274	823
3	10	58	79	8260	168	30	8202	8034	21
18	10	195	356	8312	82	140	8117	8035	161
71	10	734	1266	8419	97	47	7685	7588	532
25	10	235	256	8805	181	80	8570	8389	21
31	10	325	2308	9711	110	63	9386	9276	1983
23	10	227	4984	9766	79	55	9539	9460	4757
0	0	0	-1	10030	10030	0	10030	0	-1
