id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	10	70	87	185	98	0	115	17	17
37	10	455	474	510	36	0	55	19	19
26	10	268	1393	1419	26	0	1151	1125	1125
27	10	278	1970	1998	28	0	1720	1692	1692
53	10	663	2091	2097	6	0	1434	1428	1428
51	10	657	2097	2107	10	0	1450	1440	1440
50	10	643	2542	2556	14	0	1913	1899	1899
59	10	720	3252	3254	2	0	2534	2532	2532
34	10	379	3254	3430	176	0	3051	2875	2875
48	10	626	4008	4011	3	0	3385	3382	3382
93	10	1081	1112	4415	83	14	3334	3251	31
84	10	998	4883	4884	1	0	3886	3885	3885
79	10	970	5321	5387	66	0	4417	4351	4351
69	10	862	5821	5830	9	0	4968	4959	4959
47	10	623	4088	6415	110	48	5792	5682	3465
31	10	357	2519	7406	31	8	7049	7018	2162
94	10	1093	4011	7526	53	50	6433	6380	2918
70	10	867	5830	8346	52	69	7479	7427	4963
12	10	133	824	8864	54	12	8731	8677	691
1	10	0	0	9741	103	5	9741	9638	0
0	0	0	0	10011	9978	0	10011	33	0
