id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
63	10	584	1025	1048	23	0	464	441	441
90	10	804	967	1836	34	61	1032	998	163
64	10	611	1381	2527	78	1	1916	1838	770
44	10	410	3668	3920	12	2	3510	3498	3258
9	10	112	244	3940	38	49	3828	3790	132
84	10	752	3994	4027	33	0	3275	3242	3242
81	10	714	4053	4104	51	0	3390	3339	3339
45	10	414	3451	4806	91	78	4392	4301	3037
24	10	256	3600	4939	76	4	4683	4607	3344
23	10	252	3597	5523	115	7	5271	5156	3345
51	10	468	3716	5643	112	49	5175	5063	3248
73	10	674	5773	5808	35	0	5134	5099	5099
74	10	677	6069	6083	14	0	5406	5392	5392
67	10	624	6083	6161	78	0	5537	5459	5459
36	10	344	6161	6554	20	9	6210	6190	5817
48	10	435	461	6589	79	24	6154	6075	26
3	10	26	62	6652	89	5	6626	6537	36
95	10	837	3005	6759	47	10	5922	5875	2168
43	10	386	3974	7236	106	55	6850	6744	3588
40	10	370	449	7534	29	31	7164	7135	79
16	10	170	605	8912	128	26	8742	8614	435
5	10	70	199	9523	136	56	9453	9317	129
52	10	469	3549	9554	81	22	9085	9004	3080
83	10	737	4027	9824	66	25	9087	9021	3290
6	10	84	181	9903	170	71	9819	9649	97
18	10	181	4840	9944	83	30	9763	9680	4659
0	0	0	0	10012	10013	0	10012	-1	0
