id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
87	10	878	954	977	23	0	99	76	76
17	10	145	1192	1326	134	0	1181	1047	1047
30	10	286	1882	1953	71	0	1667	1596	1596
27	10	239	2476	2483	7	0	2244	2237	2237
61	10	630	1953	2982	36	20	2352	2316	1323
11	10	117	3297	3537	240	0	3420	3180	3180
23	10	217	3537	3544	7	0	3327	3320	3320
91	10	903	4228	4234	6	0	3331	3325	3325
49	10	490	2712	4881	43	16	4391	4348	2222
83	10	842	5539	5569	30	0	4727	4697	4697
39	10	382	6295	6312	17	0	5930	5913	5913
28	10	242	2168	6448	105	70	6206	6101	1926
82	10	829	860	6482	55	9	5653	5598	31
19	10	165	6518	6634	116	0	6469	6353	6353
68	10	683	6910	7003	12	1	6320	6308	6227
37	10	377	6807	7383	228	46	7006	6778	6430
81	10	819	5685	7617	44	78	6798	6754	4866
42	10	432	5205	7882	172	64	7450	7278	4773
89	10	887	5012	8011	71	39	7124	7053	4125
90	10	896	4234	9212	139	35	8316	8177	3338
74	10	724	6811	9352	61	68	8628	8567	6087
85	10	844	5260	9708	109	121	8864	8755	4416
0	0	0	-1	10034	10034	0	10034	0	-1
