id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
76	10	755	755	778	11	0	23	12	0
8	12	70	70	1295	23	36	1225	1202	0
94	17	910	910	3530	31	11	2620	2589	0
62	18	625	625	3894	45	62	3269	3224	0
15	19	127	131	4095	48	13	3968	3920	4
73	19	715	715	4327	45	18	3612	3567	0
69	20	672	672	4641	47	11	3969	3922	0
83	23	832	832	5633	65	105	4801	4736	0
86	25	843	843	6516	65	0	5673	5608	0
66	27	650	650	7488	79	5	6838	6759	0
31	29	280	280	8029	91	64	7749	7658	0
84	29	833	833	8105	103	143	7272	7169	0
59	29	599	599	8258	98	17	7659	7561	0
60	30	600	600	8377	99	59	7777	7678	0
9	30	76	76	8440	89	56	8364	8275	0
22	30	156	170	8550	85	67	8394	8309	14
41	30	396	396	8586	90	16	8190	8100	0
21	31	151	163	8971	97	60	8820	8723	12
26	33	228	228	9767	106	55	9539	9433	0
29	34	253	253	9895	102	24	9642	9540	0
0	0	0	-1	10000	10000	0	10000	0	-1
