id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
23	12	178	197	1205	11	0	1027	1016	19
61	12	608	608	1343	15	52	735	720	0
36	12	326	337	1454	17	16	1128	1111	11
64	13	645	645	1651	21	1	1006	985	0
93	13	858	858	1769	15	0	911	896	0
60	13	604	604	1921	18	0	1317	1299	0
31	14	306	307	2013	36	47	1707	1671	1
47	14	425	433	2230	26	21	1805	1779	8
59	16	597	597	3121	29	0	2524	2495	0
19	17	171	171	3289	34	0	3118	3084	0
50	17	458	458	3404	31	0	2946	2915	0
71	17	689	692	3548	33	14	2859	2826	3
88	19	805	809	4003	43	21	3198	3155	4
33	19	320	380	4087	41	5	3767	3726	60
62	19	619	619	4164	41	13	3545	3504	0
7	20	90	90	4438	49	0	4348	4299	0
82	21	767	767	4675	58	72	3908	3850	0
74	22	718	718	5032	58	12	4314	4256	0
4	24	39	39	5769	63	28	5730	5667	0
42	24	404	404	6016	74	26	5612	5538	0
18	25	166	166	6335	72	31	6169	6097	0
48	26	439	439	6489	73	30	6050	5977	0
76	26	735	735	6512	73	45	5777	5704	0
98	26	889	889	6591	72	11	5702	5630	0
84	31	774	774	8149	93	138	7375	7282	0
73	31	696	708	8309	92	31	7613	7521	12
3	33	19	19	9034	105	7	9015	8910	0
58	34	569	569	9098	120	77	8529	8409	0
57	34	555	555	9146	103	19	8591	8488	0
56	34	549	549	9207	111	6	8658	8547	0
86	36	797	801	9691	109	0	8894	8785	4
44	36	416	416	9953	126	57	9537	9411	0
0	0	0	-1	10002	10002	0	10002	0	-1
