id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
35	12	313	313	1267	11	0	954	943	0
25	12	229	229	1391	21	27	1162	1141	0
44	13	433	433	1801	17	15	1368	1351	0
26	13	238	238	1991	19	109	1753	1734	0
61	14	609	631	2042	26	0	1433	1407	22
74	15	884	884	2580	22	0	1696	1674	0
92	17	1084	1084	3269	37	73	2185	2148	0
90	18	1074	1074	3740	34	0	2666	2632	0
33	19	301	301	4211	51	61	3910	3859	0
84	20	971	991	4566	55	93	3595	3540	20
8	20	54	54	4593	51	114	4539	4488	0
23	20	210	212	4598	47	2	4388	4341	2
47	20	479	479	4765	46	0	4286	4240	0
80	20	957	957	4808	56	83	3851	3795	0
3	22	15	15	5332	63	80	5317	5254	0
55	22	568	568	5390	62	21	4822	4760	0
62	22	619	635	5413	55	7	4794	4739	16
5	22	19	24	5497	58	21	5478	5420	5
82	23	963	967	5872	60	162	4909	4849	4
52	24	526	530	5983	77	35	5457	5380	4
97	24	1110	1115	5989	66	0	4879	4813	5
83	24	968	983	6031	66	0	5063	4997	15
14	26	113	117	6648	67	0	6535	6468	4
29	26	264	264	6697	81	99	6433	6352	0
66	27	652	660	7046	75	76	6394	6319	8
11	28	85	85	7360	87	86	7275	7188	0
21	28	180	188	7456	79	0	7276	7197	8
87	28	996	1005	7507	77	10	6511	6434	9
49	29	513	513	7751	87	61	7238	7151	0
22	29	206	206	7880	87	8	7674	7587	0
67	30	677	677	7910	91	134	7233	7142	0
91	31	1079	1079	8281	95	65	7202	7107	0
53	32	531	534	8553	94	3	8022	7928	3
36	32	328	328	8576	100	165	8248	8148	0
1	34	0	0	9067	109	4	9067	8958	0
27	34	239	239	9135	107	39	8896	8789	0
45	35	443	443	9439	116	19	8996	8880	0
28	36	250	250	9734	108	0	9484	9376	0
0	0	0	-1	10000	10000	0	10000	0	-1
