id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
5	12	63	63	93	10	0	30	20	0
60	10	588	588	650	10	47	62	52	0
52	12	518	526	1461	10	0	943	933	8
40	14	415	433	2314	25	18	1899	1874	18
44	15	481	481	2334	43	0	1853	1810	0
76	15	740	740	2738	29	43	1998	1969	0
90	18	911	911	3721	38	0	2810	2772	0
55	18	532	546	3819	40	24	3287	3247	14
89	18	910	910	3938	51	15	3028	2977	0
7	18	94	94	3952	49	177	3858	3809	0
16	21	208	208	5094	53	25	4886	4833	0
12	22	178	178	5298	70	5	5120	5050	0
24	22	287	287	5362	64	157	5075	5011	0
67	23	646	646	5888	64	34	5242	5178	0
50	23	505	516	5898	58	0	5393	5335	11
68	25	662	662	6514	76	34	5852	5776	0
65	27	627	627	7112	82	33	6485	6403	0
71	27	669	677	7120	76	5	6451	6375	8
47	28	492	497	7438	81	0	6946	6865	5
22	28	264	264	7604	76	0	7340	7264	0
13	28	179	179	7782	82	3	7603	7521	0
38	29	406	415	7868	84	0	7462	7378	9
11	29	172	172	8048	88	0	7876	7788	0
25	30	295	295	8253	95	21	7958	7863	0
53	35	523	536	9853	108	16	9330	9222	13
70	35	668	669	9911	110	97	9243	9133	1
18	35	219	219	9927	126	107	9708	9582	0
0	0	0	0	10003	9990	0	10003	13	0
