id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
40	11	427	427	460	8	0	33	25	0
43	10	468	468	471	3	0	3	0	0
84	10	826	834	855	9	0	29	20	8
73	11	756	756	1022	14	0	266	252	0
98	14	935	939	2370	25	20	1435	1410	4
12	15	130	130	2512	24	0	2382	2358	0
33	16	344	344	2866	28	0	2522	2494	0
2	16	47	47	2886	31	0	2839	2808	0
28	16	256	268	2939	29	53	2683	2654	12
56	17	518	558	3260	34	0	2742	2708	40
34	17	349	349	3426	42	43	3077	3035	0
79	17	805	805	3483	36	5	2678	2642	0
5	18	61	66	3665	39	0	3604	3565	5
6	18	66	68	3668	39	0	3602	3563	2
46	19	484	488	4013	48	116	3529	3481	4
11	19	128	128	4117	43	17	3989	3946	0
13	20	151	151	4266	54	0	4115	4061	0
47	20	489	489	4348	54	69	3859	3805	0
1	21	0	0	4641	48	0	4641	4593	0
42	23	434	438	5513	56	0	5079	5023	4
23	25	227	231	6017	79	55	5790	5711	4
27	26	248	264	6609	72	0	6361	6289	16
18	27	195	195	6828	82	140	6633	6551	0
71	28	734	734	7036	97	47	6302	6205	0
67	28	688	688	7335	79	0	6647	6568	0
17	29	184	184	7604	85	0	7420	7335	0
16	31	182	182	8053	99	103	7871	7772	0
78	31	799	799	8273	93	24	7474	7381	0
87	33	855	855	8870	99	50	8015	7916	0
31	35	325	325	9309	110	63	8984	8874	0
0	0	0	-1	10000	10000	0	10000	0	-1
