id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
12	10	132	132	148	6	5	16	10	0
72	11	674	674	791	8	0	117	109	0
8	15	99	99	2460	27	0	2361	2334	0
82	16	751	763	2828	39	27	2077	2038	12
79	18	745	745	3810	39	0	3065	3026	0
38	18	334	334	3856	40	0	3522	3482	0
36	18	317	317	3962	46	37	3645	3599	0
94	18	930	930	4007	38	62	3077	3039	0
71	21	671	671	5068	51	3	4397	4346	0
24	23	242	242	5795	59	5	5553	5494	0
98	24	972	972	6092	67	27	5120	5053	0
47	24	408	408	6200	78	49	5792	5714	0
59	24	538	538	6220	67	18	5682	5615	0
30	26	275	275	6860	73	21	6585	6512	0
16	29	175	175	8223	83	14	8048	7965	0
45	31	386	390	8786	107	61	8400	8293	4
91	32	891	891	9317	93	0	8426	8333	0
90	34	881	881	9917	105	28	9036	8931	0
0	0	0	-1	10003	10003	0	10003	0	-1
