id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	11	35	35	162	10	0	127	117	0
22	10	220	220	234	6	0	14	8	0
45	10	479	479	482	3	0	3	0	0
14	12	103	107	1376	15	0	1273	1258	4
33	12	317	317	1497	11	0	1180	1169	0
16	15	123	123	2556	27	10	2433	2406	0
37	15	365	365	2618	25	21	2253	2228	0
96	17	1173	1173	3517	36	14	2344	2308	0
21	18	218	218	3586	45	13	3368	3323	0
55	19	563	563	4075	42	56	3512	3470	0
79	20	889	889	4576	54	21	3687	3633	0
58	21	605	605	5039	59	21	4434	4375	0
76	22	821	821	5474	59	128	4653	4594	0
26	22	255	255	5495	58	22	5240	5182	0
74	23	783	783	5875	57	0	5092	5035	0
86	24	961	965	6252	64	0	5291	5227	4
62	25	662	662	6391	70	44	5729	5659	0
44	25	454	456	6602	73	9	6148	6075	2
19	26	199	199	6922	70	12	6723	6653	0
88	27	1013	1013	7321	83	21	6308	6225	0
40	28	383	383	7506	79	0	7123	7044	0
99	30	1206	1206	8214	92	141	7008	6916	0
32	30	313	313	8406	97	21	8093	7996	0
15	33	110	114	9262	119	237	9152	9033	4
47	33	502	502	9331	112	140	8829	8717	0
11	33	79	79	9369	105	5	9290	9185	0
82	35	923	923	9814	113	5	8891	8778	0
25	35	245	245	9971	112	4	9726	9614	0
0	0	0	-1	10003	10003	0	10003	0	-1
