id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
48	10	626	630	633	3	0	7	4	4
59	10	720	720	722	2	0	2	0	0
53	11	663	667	776	6	0	113	107	4
51	11	657	657	782	10	0	125	115	0
69	11	862	862	968	9	0	106	97	0
84	10	998	1002	1003	1	0	5	4	4
50	12	643	643	1475	14	0	832	818	0
31	14	357	357	2025	31	8	1668	1637	0
27	15	278	278	2398	28	0	2120	2092	0
26	15	268	268	2717	26	0	2449	2423	0
37	18	455	455	3694	36	0	3239	3203	0
71	20	871	871	4600	59	72	3729	3670	0
70	20	867	867	4607	52	69	3740	3688	0
12	21	133	133	5041	54	12	4908	4854	0
94	22	1093	1093	5192	53	50	4099	4046	0
16	22	189	189	5335	56	126	5146	5090	0
79	25	970	970	6209	66	0	5239	5173	0
93	26	1081	1081	6569	83	14	5488	5405	0
77	29	956	956	7957	96	140	7001	6905	0
3	31	56	56	8315	101	2	8259	8158	0
1	31	0	0	8632	103	5	8632	8529	0
47	32	623	623	8851	110	48	8228	8118	0
6	33	70	70	9303	98	0	9233	9135	0
0	0	0	0	10002	9969	0	10002	33	0
