id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	10	0	0	48	48	0	48	0	0
2	10	47	48	79	31	0	32	1	1
5	10	61	221	260	39	0	199	160	160
6	10	66	260	299	39	0	233	194	194
12	10	130	516	540	24	0	410	386	386
13	10	151	540	594	54	0	443	389	389
17	10	184	886	971	85	0	787	702	702
27	10	248	1468	1540	72	0	1292	1220	1220
33	10	344	1880	1908	28	0	1564	1536	1536
40	10	427	2032	2040	8	0	1613	1605	1605
42	10	434	2052	2108	56	0	1674	1618	1618
43	10	468	2218	2221	3	0	1753	1750	1750
56	10	518	3516	3550	34	0	3032	2998	2998
3	10	58	79	3645	168	30	3587	3419	21
11	10	128	503	3687	43	17	3559	3516	375
67	10	688	4451	4530	79	0	3842	3763	3763
73	10	756	4908	4922	14	0	4166	4152	4152
84	10	826	5395	5404	9	0	4578	4569	4569
15	10	171	859	6251	146	30	6080	5934	688
28	10	256	1540	6720	29	53	6464	6435	1284
31	10	325	1727	7053	110	63	6728	6618	1402
34	10	349	1908	7113	42	43	6764	6722	1559
62	10	612	4132	8426	125	21	7814	7689	3520
64	10	634	4193	8520	135	7	7886	7751	3559
68	10	690	4530	8608	135	7	7918	7783	3840
79	10	805	5199	9065	36	5	8260	8224	4394
87	10	855	5482	9753	99	50	8898	8799	4627
0	0	0	-1	10064	10064	0	10064	0	-1
