id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	10	0	0	460	149	17	460	311	0
13	10	67	639	654	15	0	587	572	572
3	10	10	71	804	51	16	794	743	61
7	10	26	313	1734	35	9	1708	1673	287
53	10	458	2294	2368	74	0	1910	1836	1836
57	10	506	2633	2657	24	0	2151	2127	2127
68	10	616	3142	3230	88	0	2614	2526	2526
76	10	737	3752	3911	159	0	3174	3015	3015
96	10	897	5089	5115	26	0	4218	4192	4192
21	10	164	1050	5801	124	23	5637	5513	886
33	10	300	1533	6423	75	11	6123	6048	1233
34	10	310	1577	6493	81	28	6183	6102	1267
37	10	330	1691	6691	40	47	6361	6321	1361
39	10	346	1734	6733	65	24	6387	6322	1388
41	10	353	1786	6897	198	20	6544	6346	1433
44	10	367	1926	6965	94	3	6598	6504	1559
52	10	428	2291	7388	63	5	6960	6897	1863
55	10	502	2541	7418	47	12	6916	6869	2039
62	10	567	2822	7558	78	23	6991	6913	2255
73	10	650	3424	8346	184	26	7696	7512	2774
81	10	763	4107	8892	79	20	8129	8050	3344
89	10	832	4780	9134	43	10	8302	8259	3948
19	10	128	923	9684	139	25	9556	9417	795
100	10	999	5510	9774	171	60	8775	8604	4511
0	0	0	-1	10031	10031	0	10031	0	-1
