id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	10	25	102	110	8	0	85	77	77
4	10	26	110	138	28	0	112	84	84
8	10	91	211	869	98	1	778	680	120
22	10	238	930	971	41	0	733	692	692
5	10	30	138	1004	65	74	974	909	108
23	10	249	1004	1145	141	0	896	755	755
24	10	273	1145	1189	44	0	916	872	872
25	10	274	1189	1196	7	0	922	915	915
26	10	285	1196	1201	5	0	916	911	911
11	10	132	339	1607	88	25	1475	1387	207
13	10	155	379	1947	160	6	1792	1632	224
35	10	431	1947	1988	41	0	1557	1516	1516
39	10	503	2572	2585	13	0	2082	2069	2069
42	10	530	2768	2794	26	0	2264	2238	2238
44	10	555	2830	2838	8	0	2283	2275	2275
45	10	557	2838	2870	32	0	2313	2281	2281
7	10	70	188	3914	134	2	3844	3710	118
68	10	739	4407	4428	21	0	3689	3668	3668
73	10	776	4517	4543	26	0	3767	3741	3741
74	10	815	4543	4666	123	0	3851	3728	3728
78	10	871	4805	4839	34	0	3968	3934	3934
88	10	933	5179	5180	1	0	4247	4246	4246
89	10	944	5180	5252	72	0	4308	4236	4236
96	10	1058	5570	5600	30	0	4542	4512	4512
97	10	1059	5600	5893	293	0	4834	4541	4541
99	10	1074	5979	6043	64	0	4969	4905	4905
100	10	1075	6043	6091	48	0	5016	4968	4968
27	10	290	1201	6134	65	27	5844	5779	911
32	10	392	1607	7065	42	35	6673	6631	1215
36	10	440	2059	7279	241	29	6839	6598	1619
37	10	450	2272	7303	310	12	6853	6543	1822
41	10	519	2714	7519	85	15	7000	6915	2195
47	10	610	2920	7727	79	29	7117	7038	2310
19	10	206	580	8592	71	126	8386	8315	374
71	10	762	4491	8954	27	6	8192	8165	3729
77	10	865	4725	9262	86	33	8397	8311	3860
87	10	926	5158	9652	172	40	8726	8554	4232
0	0	0	0	10002	10014	0	10002	-12	0
