id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	10	70	292	390	98	0	320	222	222
1	10	0	0	416	103	5	416	313	0
3	10	56	87	767	101	2	711	610	31
26	10	268	1399	1425	26	0	1157	1131	1131
27	10	278	1425	1453	28	0	1175	1147	1147
34	10	379	1745	1921	176	0	1542	1366	1366
37	10	455	2002	2038	36	0	1583	1547	1547
48	10	626	2673	2676	3	0	2050	2047	2047
50	10	643	2730	2744	14	0	2101	2087	2087
51	10	657	2744	2754	10	0	2097	2087	2087
53	10	663	2889	2895	6	0	2232	2226	2226
10	10	112	558	3148	172	32	3036	2864	446
59	10	720	3423	3425	2	0	2705	2703	2703
69	10	862	4091	4100	9	0	3238	3229	3229
79	10	970	4358	4424	66	0	3454	3388	3388
84	10	998	4626	4627	1	0	3629	3628	3628
5	10	63	277	6007	180	47	5944	5764	214
31	10	357	1690	6032	31	8	5675	5644	1333
8	10	92	497	6544	270	56	6452	6182	405
47	10	623	2660	7110	110	48	6487	6377	2037
12	10	133	684	7568	54	12	7435	7381	551
78	10	968	4304	9249	129	45	8281	8152	3336
80	10	971	4424	9353	137	118	8382	8245	3453
0	0	0	0	10041	10008	0	10041	33	0
