id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
5	10	63	322	332	10	0	269	259	259
11	10	172	580	668	88	0	496	408	408
22	10	264	1168	1244	76	0	980	904	904
38	10	406	2169	2253	84	0	1847	1763	1763
44	10	481	2596	2639	43	0	2158	2115	2115
47	10	492	2917	2998	81	0	2506	2425	2425
50	10	505	3291	3349	58	0	2844	2786	2786
52	10	518	3476	3486	10	0	2968	2958	2958
12	10	178	668	4292	70	5	4114	4044	490
13	10	179	695	4490	82	3	4311	4229	516
85	10	863	4918	5108	190	0	4245	4055	4055
90	10	911	5302	5340	38	0	4429	4391	4391
19	10	225	1016	5835	192	25	5610	5418	791
1	10	0	0	5977	274	28	5977	5703	0
40	10	415	2304	7152	25	18	6737	6712	1889
53	10	523	3486	7614	108	16	7091	6983	2963
9	10	113	489	7811	106	45	7698	7592	376
60	10	588	3845	7932	10	47	7344	7334	3257
7	10	94	425	7940	49	177	7846	7797	331
65	10	627	4001	8140	82	33	7513	7431	3374
68	10	662	4123	8159	76	34	7497	7421	3461
69	10	666	4195	8350	216	13	7684	7468	3529
71	10	669	4230	8410	76	5	7741	7665	3561
16	10	208	846	9148	53	25	8940	8887	638
88	10	901	5236	9263	137	15	8362	8225	4335
15	10	186	839	9460	201	139	9274	9073	653
89	10	910	5266	9475	51	15	8565	8514	4356
95	10	967	5436	9947	245	53	8980	8735	4469
0	0	0	0	10012	9999	0	10012	13	0
