id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	10	26	62	346	89	5	320	231	36
7	10	85	192	1393	93	1	1308	1215	107
63	10	584	3367	3390	23	0	2806	2783	2783
67	10	624	3499	3577	78	0	2953	2875	2875
2	10	21	21	3939	52	84	3918	3866	0
73	10	674	3993	4028	35	0	3354	3319	3319
74	10	677	4028	4042	14	0	3365	3351	3351
81	10	714	4448	4499	51	0	3785	3734	3734
84	10	752	4758	4791	33	0	4039	4006	4006
16	10	170	1017	5926	128	26	5756	5628	847
5	10	70	134	6261	136	56	6191	6055	64
23	10	252	1235	6478	115	7	6226	6111	983
24	10	256	1238	6541	76	4	6285	6209	982
36	10	344	1959	6855	20	9	6511	6491	1615
37	10	348	1962	7321	349	33	6973	6624	1614
44	10	410	2338	7794	12	2	7384	7372	1928
9	10	112	347	7814	38	49	7702	7664	235
43	10	386	2313	7932	106	55	7546	7440	1927
10	10	117	360	8080	65	31	7963	7898	243
48	10	435	2441	8115	79	24	7680	7601	2006
50	10	463	2590	8479	137	19	8016	7879	2127
57	10	559	2839	8738	138	23	8179	8041	2280
64	10	611	3390	9017	78	1	8406	8328	2779
70	10	664	3679	9149	293	7	8485	8192	3015
85	10	765	4791	9745	84	91	8980	8896	4026
90	10	804	4990	9960	34	61	9156	9122	4186
0	0	0	0	10053	10054	0	10053	-1	0
