id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
8	10	99	452	479	27	0	380	353	353
38	10	334	2198	2238	40	0	1904	1864	1864
43	10	381	2379	2523	144	0	2142	1998	1998
7	10	86	286	2850	179	25	2764	2585	200
64	10	564	3583	3766	183	0	3202	3019	3019
72	10	674	4260	4268	8	0	3594	3586	3586
12	10	132	693	4287	6	5	4155	4149	561
79	10	745	4828	4867	39	0	4122	4083	4083
91	10	891	5455	5548	93	0	4657	4564	4564
16	10	175	971	6310	83	14	6135	6052	796
24	10	242	1437	6572	59	5	6330	6271	1195
30	10	275	1625	7048	73	21	6773	6700	1350
29	10	269	1557	7082	102	58	6813	6711	1288
40	10	348	2283	7570	158	1	7222	7064	1935
55	10	499	3003	8589	189	3	8090	7901	2504
59	10	538	3261	8774	67	18	8236	8169	2723
63	10	546	3512	9046	121	25	8500	8379	2966
0	0	0	-1	10007	10007	0	10007	0	-1
