id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
8	10	70	76	198	23	36	128	105	6
15	10	127	198	448	48	13	321	273	71
76	10	755	777	788	11	0	33	22	22
69	10	672	802	878	47	11	206	159	130
94	10	910	925	981	31	11	71	40	15
83	10	832	904	1176	65	105	344	279	72
62	10	625	1244	1364	45	62	739	694	619
73	10	715	1400	1484	45	18	769	724	685
92	10	876	1032	1862	154	165	986	832	156
66	10	650	1364	2077	79	5	1427	1348	714
9	10	76	79	2213	89	56	2137	2048	3
31	10	280	282	2597	91	64	2317	2226	2
60	10	600	2773	3022	99	59	2422	2323	2173
59	10	599	621	3308	98	17	2709	2611	22
1	10	0	0	3359	137	243	3359	3222	0
25	10	202	3244	3494	122	74	3292	3170	3042
84	10	833	839	3592	103	143	2759	2656	6
26	10	228	245	3800	106	55	3572	3466	17
34	10	307	448	4126	158	56	3819	3661	141
58	10	584	3981	4231	122	28	3647	3525	3397
86	10	843	4478	4543	65	0	3700	3635	3635
41	10	396	4787	4970	90	16	4574	4484	4391
82	10	823	834	5105	133	83	4282	4149	11
43	10	405	4689	5377	211	304	4972	4761	4284
28	10	242	5452	5698	139	54	5456	5317	5210
63	10	630	1208	5824	146	72	5194	5048	578
24	10	196	2077	5895	202	67	5699	5497	1881
53	10	548	5582	6326	238	236	5778	5540	5034
22	10	156	160	6484	85	67	6328	6243	4
77	10	759	760	6618	209	145	5859	5650	1
88	10	849	6023	6755	303	162	5906	5603	5174
29	10	253	264	6981	102	24	6728	6626	11
96	10	950	1176	7030	169	47	6080	5911	226
47	10	481	512	7430	276	134	6949	6673	31
32	10	284	7436	7811	177	32	7527	7350	7152
49	10	524	7612	7912	164	52	7388	7224	7088
21	10	151	7985	8171	97	60	8020	7923	7834
81	10	818	1562	8531	189	53	7713	7524	744
23	10	163	217	8663	210	91	8500	8290	54
99	10	965	4970	9104	328	143	8139	7811	4005
10	10	84	6633	9218	449	321	9134	8685	6549
56	10	568	2381	9311	152	105	8743	8591	1813
64	10	640	3623	9587	152	11	8947	8795	2983
4	10	25	1992	9873	263	180	9848	9585	1967
80	10	786	6101	9965	255	145	9179	8924	5315
0	0	0	-1	10032	10032	0	10032	0	-1
