id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
36	10	424	437	445	8	0	21	13	13
28	10	365	379	507	34	67	142	108	14
18	10	251	306	527	52	107	276	224	55
53	10	581	596	692	29	60	111	82	15
70	10	741	751	788	25	9	47	22	10
7	10	104	238	862	59	32	758	699	134
60	10	635	862	892	30	0	257	227	227
88	10	925	931	944	13	0	19	6	6
96	10	1000	1014	1025	11	0	25	14	14
45	10	492	1149	1239	58	6	747	689	657
79	10	825	1303	1396	44	15	571	527	478
24	10	306	1396	1430	34	0	1124	1090	1090
46	10	504	1430	1465	35	0	961	926	926
55	10	588	1271	1615	85	25	1027	942	683
48	10	525	528	1653	40	49	1128	1088	3
15	10	222	2057	2114	48	7	1892	1844	1835
100	10	1034	2114	2247	57	54	1213	1156	1080
37	10	439	2289	2404	69	16	1965	1896	1850
83	10	894	960	2594	96	17	1700	1604	66
13	10	208	229	2880	125	53	2672	2547	21
47	10	521	2662	3169	127	108	2648	2521	2141
39	10	449	464	3345	143	118	2896	2753	15
78	10	818	2498	3433	228	165	2615	2387	1680
44	10	474	571	3488	80	9	3014	2934	97
92	10	977	1025	3631	129	209	2654	2525	48
82	10	871	2404	3683	109	57	2812	2703	1533
71	10	747	3683	3743	60	0	2996	2936	2936
69	10	712	2451	4069	113	2	3357	3244	1739
74	10	772	1465	4714	296	235	3942	3646	693
65	10	684	4784	4973	117	28	4289	4172	4100
11	10	186	228	4974	265	139	4788	4523	42
8	10	107	5047	5295	104	74	5188	5084	4940
91	10	955	959	5451	104	10	4496	4392	4
98	10	1003	1006	6841	97	47	5838	5741	3
9	10	154	6966	7291	146	49	7137	6991	6812
57	10	622	6563	8240	231	11	7618	7387	5941
1	10	0	0	8287	449	101	8287	7838	0
41	10	465	6873	8324	231	97	7859	7628	6408
61	10	640	8511	8606	95	0	7966	7871	7871
34	10	414	6421	8767	242	164	8353	8111	6007
0	0	0	-1	10030	10030	0	10030	0	-1
