id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	10	21	21	173	52	84	152	100	0
9	10	112	159	304	38	49	192	154	47
44	10	410	423	447	12	2	37	25	13
36	10	344	349	468	20	9	124	104	5
40	10	370	391	479	29	31	109	80	21
63	10	584	635	658	23	0	74	51	51
74	10	677	694	708	14	0	31	17	17
95	10	837	838	953	47	10	116	69	1
90	10	804	808	973	34	61	169	135	4
83	10	737	759	1084	66	25	347	281	22
84	10	752	1084	1117	33	0	365	332	332
73	10	674	1497	1532	35	0	858	823	823
45	10	414	485	1567	91	78	1153	1062	71
18	10	181	1253	1890	83	30	1709	1626	1072
61	10	578	1463	1963	124	111	1385	1261	885
88	10	798	1121	2073	99	64	1275	1176	323
48	10	435	2086	2191	79	24	1756	1677	1651
52	10	469	479	2405	81	22	1936	1855	10
53	10	483	2310	2918	189	130	2435	2246	1827
81	10	714	3011	3062	51	0	2348	2297	2297
12	10	122	183	3071	143	90	2949	2806	61
10	10	117	3071	3247	65	31	3130	3065	2954
39	10	368	385	3481	125	91	3113	2988	17
29	10	298	2866	3536	161	83	3238	3077	2568
42	10	384	1361	4070	259	86	3686	3427	977
99	10	872	875	4130	103	37	3258	3155	3
85	10	765	3973	4154	84	91	3389	3305	3208
6	10	84	90	4275	170	71	4191	4021	6
5	10	70	108	4339	136	56	4269	4133	38
3	10	26	64	4463	89	5	4437	4348	38
28	10	286	1639	4702	182	53	4416	4234	1353
24	10	256	270	4765	76	4	4509	4433	14
30	10	304	2548	4918	127	88	4614	4487	2244
26	10	273	4339	6272	423	411	5999	5576	4066
64	10	611	621	6489	78	1	5878	5800	10
20	10	219	242	6498	218	227	6279	6061	23
72	10	673	675	6740	155	123	6067	5912	2
87	10	769	6338	7063	316	129	6294	5978	5569
67	10	624	7106	7184	78	0	6560	6482	6482
57	10	559	3764	7314	138	23	6755	6617	3205
1	10	0	0	7485	255	200	7485	7230	0
50	10	463	3247	7603	137	19	7140	7003	2784
27	10	278	6812	7747	365	153	7469	7104	6534
59	10	572	601	8007	150	111	7435	7285	29
43	10	386	526	8097	106	55	7711	7605	140
93	10	824	8097	8296	111	3	7472	7361	7273
51	10	468	546	8385	112	49	7917	7805	78
69	10	653	5251	8604	513	116	7951	7438	4598
78	10	700	1154	8871	513	322	8171	7658	454
7	10	85	8893	9020	93	1	8935	8842	8808
14	10	132	8663	9138	172	74	9006	8834	8531
80	10	709	9020	9339	108	78	8630	8522	8311
16	10	170	304	9893	128	26	9723	9595	134
96	10	847	1038	9965	182	39	9118	8936	191
0	0	0	0	10064	10065	0	10064	-1	0
