id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
23	10	178	217	228	11	0	50	39	39
19	10	171	256	290	34	0	119	85	85
36	10	326	357	392	17	16	66	49	31
31	10	306	311	485	36	47	179	143	5
47	10	425	441	505	26	21	80	54	16
18	10	166	228	543	72	31	377	305	62
60	10	604	644	662	18	0	58	40	40
61	10	608	609	686	15	52	78	63	1
64	10	645	729	752	21	1	107	86	84
93	10	858	865	880	15	0	22	7	7
88	10	805	841	908	43	21	103	60	36
71	10	689	933	992	33	14	303	270	244
59	10	597	1208	1237	29	0	640	611	611
82	10	767	1150	1305	58	72	538	480	383
62	10	619	624	1384	41	13	765	724	5
50	10	458	1384	1415	31	0	957	926	926
33	10	320	1479	1527	41	5	1207	1166	1159
58	10	569	579	1865	120	77	1296	1176	10
84	10	774	1109	2130	93	138	1356	1263	335
73	10	696	697	2184	92	31	1488	1396	1
42	10	404	543	2416	74	26	2012	1938	139
74	10	718	720	2585	58	12	1867	1809	2
7	10	90	2597	2646	49	0	2556	2507	2507
4	10	39	173	3121	63	28	3082	3019	134
48	10	439	485	3178	73	30	2739	2666	46
3	10	19	3612	3725	105	7	3706	3601	3593
91	10	823	3481	3891	157	132	3068	2911	2658
98	10	889	3891	4041	72	11	3152	3080	3002
24	10	215	3732	4705	127	150	4490	4363	3517
76	10	735	748	5382	73	45	4647	4574	13
41	10	399	908	6006	244	155	5607	5363	509
25	10	269	291	6047	132	50	5778	5646	22
2	10	7	16	6298	228	13	6291	6063	9
10	10	110	188	6429	157	51	6319	6162	78
45	10	417	6542	6962	167	50	6545	6378	6125
6	10	68	3178	7094	284	134	7026	6742	3110
11	10	113	4554	7377	260	304	7264	7004	4441
100	10	896	2870	7407	214	38	6511	6297	1974
16	10	155	6047	7657	330	156	7502	7172	5892
52	10	502	7657	8162	200	80	7660	7460	7155
22	10	176	2019	8221	238	120	8045	7807	1843
28	10	289	8606	8933	171	31	8644	8473	8317
72	10	692	1979	9120	460	397	8428	7968	1287
57	10	555	9120	9274	103	19	8719	8616	8565
56	10	549	563	9509	111	6	8960	8849	14
0	0	0	-1	10029	10029	0	10029	0	-1
