id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	10	25	102	110	8	0	85	77	77
26	10	285	286	291	5	0	6	1	1
25	10	274	291	298	7	0	24	17	17
4	10	26	330	358	28	0	332	304	304
39	10	503	510	523	13	0	20	7	7
32	10	392	417	544	42	35	152	110	25
42	10	530	544	570	26	0	40	14	14
44	10	555	570	578	8	0	23	15	15
48	10	611	635	777	32	69	166	134	24
53	10	637	676	783	38	55	146	108	39
68	10	739	809	830	21	0	91	70	70
71	10	762	790	838	27	6	76	49	28
73	10	776	863	889	26	0	113	87	87
88	10	933	947	948	1	0	15	14	14
96	10	1058	1148	1178	30	0	120	90	90
66	10	723	889	1296	95	206	573	478	166
45	10	557	1296	1328	32	0	771	739	739
5	10	30	478	1394	65	74	1364	1299	448
78	10	871	1647	1681	34	0	810	776	776
20	10	218	1748	1976	94	40	1758	1664	1530
22	10	238	2079	2120	41	0	1882	1841	1841
47	10	610	2037	2158	79	29	1548	1469	1427
35	10	431	2254	2295	41	0	1864	1823	1823
54	10	638	1997	2389	149	146	1751	1602	1359
27	10	290	298	2614	65	27	2324	2259	8
24	10	273	2737	2781	44	0	2508	2464	2464
1	10	0	0	2881	160	97	2881	2721	0
65	10	722	2792	2969	86	12	2247	2161	2070
100	10	1075	3133	3181	48	0	2106	2058	2058
19	10	206	3066	3290	71	126	3084	3013	2860
49	10	615	3587	3797	103	29	3182	3079	2972
41	10	519	3797	3937	85	15	3418	3333	3278
52	10	626	634	3993	99	63	3367	3268	8
62	10	708	725	4165	119	20	3457	3338	17
76	10	854	1394	4327	98	48	3473	3375	540
79	10	897	919	4408	136	57	3511	3375	22
99	10	1074	4606	4670	64	0	3596	3532	3532
80	10	899	1553	4699	150	70	3800	3650	654
89	10	944	5209	5281	72	0	4337	4265	4265
75	10	839	861	5501	88	58	4662	4574	22
92	10	1006	3393	5577	384	254	4571	4187	2387
14	10	162	175	5684	185	129	5522	5337	13
7	10	70	199	5821	134	2	5751	5617	129
8	10	91	155	5955	98	1	5864	5766	64
11	10	132	145	6033	88	25	5901	5813	13
81	10	900	1328	6272	194	154	5372	5178	428
86	10	914	1193	6276	128	75	5362	5234	279
77	10	865	6276	6445	86	33	5580	5494	5411
59	10	683	703	6861	254	259	6178	5924	20
17	10	193	362	7554	326	138	7361	7035	169
43	10	545	578	7799	150	51	7254	7104	33
18	10	197	7105	8028	295	92	7831	7536	6908
98	10	1064	7252	8052	283	65	6988	6705	6188
72	10	765	783	8926	271	111	8161	7890	18
85	10	907	1021	9402	235	123	8495	8260	114
63	10	712	731	9555	163	38	8843	8680	19
0	0	0	0	10013	10025	0	10013	-12	0
