id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
5	10	19	100	206	58	21	187	129	81
25	10	229	258	308	21	27	79	58	29
35	10	313	324	335	11	0	22	11	11
26	10	238	250	386	19	109	148	129	12
33	10	301	308	473	51	61	172	121	7
44	10	433	438	484	17	15	51	34	5
3	10	15	335	603	63	80	588	525	320
61	10	609	615	641	26	0	32	6	6
66	10	652	661	868	75	76	216	141	9
74	10	884	902	924	22	0	40	18	18
82	10	963	984	1297	60	162	334	274	21
92	10	1084	1187	1311	37	73	227	190	103
90	10	1074	1462	1496	34	0	422	388	388
29	10	264	267	1747	81	99	1483	1402	3
23	10	210	1750	1841	47	2	1631	1584	1540
93	10	1086	1104	1963	165	172	877	712	18
22	10	206	1793	2045	87	8	1839	1752	1587
1	10	0	0	2180	109	4	2180	2071	0
8	10	54	63	2226	51	114	2172	2121	9
49	10	513	514	2261	87	61	1748	1661	1
47	10	479	2261	2307	46	0	1828	1782	1782
62	10	619	2439	2530	55	7	1911	1856	1820
91	10	1079	2353	2578	95	65	1499	1404	1274
27	10	239	2628	2799	107	39	2560	2453	2389
55	10	568	569	2850	62	21	2282	2220	1
84	10	971	982	3122	55	93	2151	2096	11
80	10	957	2954	3125	56	83	2168	2112	1997
78	10	938	992	3213	142	74	2275	2133	54
87	10	996	3267	3360	77	10	2364	2287	2271
6	10	29	3132	3706	130	122	3677	3547	3103
36	10	328	3360	3710	100	165	3382	3282	3032
83	10	968	4079	4145	66	0	3177	3111	3111
67	10	677	705	4163	91	134	3486	3395	28
97	10	1110	4229	4295	66	0	3185	3119	3119
14	10	113	4295	4362	67	0	4249	4182	4182
52	10	526	542	4500	77	35	3974	3897	16
11	10	85	88	4644	87	86	4559	4472	3
53	10	531	4717	4834	94	3	4303	4209	4186
32	10	283	3645	4997	199	335	4714	4515	3362
71	10	865	876	5119	146	103	4254	4108	11
89	10	1044	1055	5510	174	15	4466	4292	11
45	10	443	1062	5666	116	19	5223	5107	619
70	10	854	868	5679	214	248	4825	4611	14
21	10	180	5679	5758	79	0	5578	5499	5499
76	10	916	5838	6188	180	36	5272	5092	4922
20	10	175	5977	6641	302	98	6466	6164	5802
7	10	45	66	6868	199	97	6823	6624	21
99	10	1119	4997	7507	374	151	6388	6014	3878
24	10	212	924	7914	390	249	7702	7312	712
48	10	491	7930	8123	141	24	7632	7491	7439
60	10	608	8123	8796	262	201	8188	7926	7515
10	10	77	225	8912	196	132	8835	8639	148
34	10	304	8601	9154	302	126	8850	8548	8297
88	10	1022	1024	9157	176	134	8135	7959	2
9	10	57	78	9263	172	76	9206	9034	21
28	10	250	9370	9478	108	0	9228	9120	9120
43	10	408	4362	9570	318	175	9162	8844	3954
0	0	0	-1	10066	10066	0	10066	0	-1
