id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
23	10	217	244	251	7	0	34	27	27
27	10	239	258	265	7	0	26	19	19
39	10	382	401	418	17	0	36	19	19
49	10	490	491	577	43	16	87	44	1
68	10	683	685	710	12	1	27	15	2
61	10	630	724	799	36	20	169	133	94
91	10	903	923	929	6	0	26	20	20
74	10	724	799	980	61	68	256	195	75
81	10	819	823	1006	44	78	187	143	4
87	10	878	1006	1029	23	0	151	128	128
83	10	842	1298	1328	30	0	486	456	456
82	10	829	832	1395	55	9	566	511	3
89	10	887	1081	1502	71	39	615	544	194
67	10	682	1137	1722	130	104	1040	910	455
85	10	844	878	2096	109	121	1252	1143	34
6	10	38	76	2335	107	48	2297	2190	38
29	10	277	2157	2388	95	88	2111	2016	1880
33	10	319	2767	2932	109	21	2613	2504	2448
8	10	95	175	2967	173	123	2872	2699	80
50	10	512	3152	3277	57	30	2765	2708	2640
56	10	575	577	3500	137	108	2925	2788	2
54	10	555	3968	4118	92	16	3563	3471	3413
12	10	119	1603	4577	147	51	4458	4311	1484
18	10	162	203	4639	395	376	4477	4082	41
28	10	242	1762	5164	105	70	4922	4817	1520
72	10	712	4869	5241	175	137	4529	4354	4157
30	10	286	5734	5805	71	0	5519	5448	5448
52	10	546	5917	6139	133	39	5593	5460	5371
59	10	595	1996	6306	286	145	5711	5425	1401
25	10	231	6316	6610	194	20	6379	6185	6085
48	10	469	616	6683	256	113	6214	5958	147
88	10	885	895	7112	169	91	6227	6058	10
71	10	707	6993	7134	95	9	6427	6332	6286
90	10	896	1055	7350	139	35	6454	6315	159
69	10	691	739	7355	547	411	6664	6117	48
78	10	778	1253	8374	226	21	7596	7370	475
63	10	636	653	8703	378	175	8067	7689	17
21	10	212	8986	9401	170	109	9189	9019	8774
96	10	948	982	9961	279	163	9013	8734	34
0	0	0	-1	10040	10040	0	10040	0	-1
