id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	10	35	73	83	10	0	48	38	38
14	10	103	150	165	15	0	62	47	47
22	10	220	222	228	6	0	8	2	2
16	10	123	181	239	27	10	116	89	58
33	10	317	321	332	11	0	15	4	4
21	10	218	282	352	45	13	134	89	64
37	10	365	372	437	25	21	72	47	7
45	10	479	486	489	3	0	10	7	7
55	10	563	565	713	42	56	150	108	2
76	10	821	844	1084	59	128	263	204	23
96	10	1173	1184	1280	36	14	107	71	11
26	10	255	2013	2095	58	22	1840	1782	1758
47	10	502	510	2247	112	140	1745	1633	8
62	10	662	663	2541	70	44	1879	1809	1
15	10	110	122	2552	119	237	2442	2323	12
79	10	889	890	2639	54	21	1750	1696	1
19	10	199	239	2879	70	12	2680	2610	40
88	10	1013	1437	2943	83	21	1930	1847	424
12	10	87	2787	3095	163	49	3008	2845	2700
58	10	605	2981	3102	59	21	2497	2438	2376
32	10	313	375	3418	97	21	3105	3008	62
7	10	50	1592	3731	171	92	3681	3510	1542
59	10	613	666	3963	225	139	3350	3125	53
44	10	454	3984	4114	73	9	3660	3587	3530
74	10	783	4197	4254	57	0	3471	3414	3414
82	10	923	4371	4544	113	5	3621	3508	3448
25	10	245	4544	4719	112	4	4474	4362	4299
86	10	961	4846	4910	64	0	3949	3885	3885
11	10	79	4952	5066	105	5	4987	4882	4873
41	10	431	437	5773	286	217	5342	5056	6
99	10	1206	1234	6657	92	141	5451	5359	28
64	10	671	6152	6824	255	121	6153	5898	5481
72	10	744	746	7189	203	58	6445	6242	2
27	10	264	778	7417	302	155	7153	6851	514
5	10	45	108	7520	145	17	7475	7330	63
95	10	1112	7281	7547	129	81	6435	6306	6169
40	10	383	7547	7626	79	0	7243	7164	7164
2	10	5	8	7786	151	66	7781	7630	3
1	10	0	0	8380	377	218	8380	8003	0
30	10	297	307	8436	313	125	8139	7826	10
63	10	667	3751	8999	299	123	8332	8033	3084
29	10	284	8876	9047	132	25	8763	8631	8592
18	10	188	2247	9363	237	145	9175	8938	2059
28	10	273	3251	9443	246	159	9170	8924	2978
100	10	1216	4140	9533	278	150	8317	8039	2924
0	0	0	-1	10033	10033	0	10033	0	-1
