id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
17	10	153	224	289	32	24	136	104	71
58	10	551	567	781	50	110	230	180	16
99	10	1017	1028	1049	21	0	32	11	11
94	10	975	1003	1088	31	13	113	82	28
92	10	938	958	1176	42	24	238	196	20
62	10	612	1176	1259	47	13	647	600	564
97	10	995	1098	1289	59	72	294	235	103
75	10	754	1356	1391	35	0	637	602	602
59	10	570	571	1426	99	91	856	757	1
31	10	255	1538	1574	36	0	1319	1283	1283
86	10	860	1497	1745	91	98	885	794	637
4	10	12	100	2170	82	31	2158	2076	88
93	10	963	2073	2265	44	112	1302	1258	1110
48	10	446	2837	3034	111	3	2588	2477	2391
25	10	196	199	3269	94	42	3073	2979	3
39	10	365	372	3462	120	129	3097	2977	7
65	10	645	649	3672	102	155	3027	2925	4
56	10	509	3998	4151	64	43	3642	3578	3489
34	10	305	3814	4227	145	100	3922	3777	3509
30	10	241	248	4324	104	23	4083	3979	7
91	10	920	3616	4630	254	257	3710	3456	2696
47	10	445	2789	5255	187	56	4810	4623	2344
50	10	452	811	5337	95	54	4885	4790	359
87	10	871	2964	5749	115	2	4878	4763	2093
70	10	707	5876	6004	89	23	5297	5208	5169
80	10	825	854	6263	193	49	5438	5245	29
41	10	402	6315	6384	69	0	5982	5913	5913
15	10	122	6384	6453	69	0	6331	6262	6262
55	10	487	490	6739	219	166	6252	6033	3
90	10	897	907	6991	148	123	6094	5946	10
1	10	0	0	7102	160	33	7102	6942	0
100	10	1023	6844	7118	100	103	6095	5995	5821
71	10	722	7168	7487	114	37	6765	6651	6446
32	10	264	1210	7561	106	41	7297	7191	946
98	10	1015	1027	7773	247	165	6758	6511	12
26	10	201	203	7810	386	419	7609	7223	2
35	10	324	8116	8357	124	46	8033	7909	7792
13	10	116	125	8424	255	113	8308	8053	9
89	10	879	895	8586	126	11	7707	7581	16
64	10	632	8803	8919	85	6	8287	8202	8171
12	10	95	99	9064	215	246	8969	8754	4
51	10	455	2555	9161	197	167	8706	8509	2100
66	10	658	659	9503	143	30	8845	8702	1
0	0	0	-1	10024	10024	0	10024	0	-1
