id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	10	0	0	128	103	5	128	25	0
26	10	268	283	309	26	0	41	15	15
27	10	278	340	368	28	0	90	62	62
31	10	357	392	438	31	8	81	50	35
48	10	626	630	633	3	0	7	4	4
53	10	663	670	676	6	0	13	7	7
51	10	657	676	686	10	0	29	19	19
50	10	643	691	705	14	0	62	48	48
59	10	720	721	723	2	0	3	1	1
16	10	189	196	867	56	126	678	622	7
69	10	862	874	883	9	0	21	12	12
84	10	998	1001	1002	1	0	4	3	3
70	10	867	1194	1350	52	69	483	431	327
94	10	1093	1134	1390	53	50	297	244	41
37	10	455	1532	1568	36	0	1113	1077	1077
93	10	1081	1667	2032	83	14	951	868	586
77	10	956	1743	2145	96	140	1189	1093	787
12	10	133	158	2272	54	12	2139	2085	25
32	10	359	368	2820	166	67	2461	2295	9
88	10	1046	2219	2993	221	168	1947	1726	1173
71	10	871	2855	3050	59	72	2179	2120	1984
3	10	56	3772	3899	101	2	3843	3742	3716
92	10	1077	1390	4181	216	98	3104	2888	313
23	10	234	261	4220	160	92	3986	3826	27
33	10	360	464	4466	190	70	4106	3916	104
74	10	886	898	4469	271	146	3583	3312	12
91	10	1056	1057	4663	136	16	3607	3471	1
79	10	970	4997	5063	66	0	4093	4027	4027
17	10	198	5494	5789	124	80	5591	5467	5296
44	10	598	612	6306	280	171	5708	5428	14
78	10	968	3344	6456	129	45	5488	5359	2376
80	10	971	6222	6523	137	118	5552	5415	5251
75	10	897	1273	6663	126	234	5766	5640	376
55	10	679	6746	7049	128	126	6370	6242	6067
35	10	397	438	7673	343	202	7276	6933	41
66	10	806	1424	8965	386	138	8159	7773	618
21	10	214	8657	9168	280	74	8954	8674	8443
10	10	112	9172	9461	172	32	9349	9177	9060
0	0	0	0	10010	9977	0	10010	33	0
